subdistrict,count
Samrong Nuea,465
Bang Kraso,432
Huai Khwang,418
Phra Khanong,392
Bang Na,373
Bang Chak,357
Khlong Tan Nuea,349
Chom Phon,347
Sam Sen Nai,320
Bang Phli Yai,261
Bang Khen,258
Suan Luang,254
Phra Khanong Nuea,245
Din Daeng,230
Khlong Tan,220
Bang Kapi,204
Bang Kaeo,195
Khlong Toei Nuea,169
Bang Rak Phatthana,167
Hua Mak,167
Thepharak,157
Sam Sen Nok,153
Talat Khwan,152
Bang Sue,148
Racha Thewa,143
Bang Bua Thong,136
Anusawari,131
Makkasan,131
Chong Nonsi,125
Bang Mae Nang,125
Bang Chan,117
Sao Thong Hin,116
Thanon Phaya Thai,114
Sam Wa Tawan Tok,114
Pak Kret,113
Lat Phrao,109
Sai Ma,100
Khlong Kluea,98
Sena Nikhom,98
Tha Raeng,98
Khlong Ton Sai,95
Bang Wa,95
Phraek Sa,94
Khlong Kum,92
Prawet,91
Thung Maha Mek,88
Lat Yao,88
Chan Kasem,87
Min Buri,84
Pak Nam,83
Sisa Chorakhe Noi,82
Thanon Phetchaburi,80
Bang Phongphang,79
Lumphini,79
Bang Talat,79
Khlong Toei,75
Ban Mai,74
Khlong Chan,71
Dao Khanong,71
O Ngoen,71
Phraek Sa Mai,71
Phimon Rat,69
Tha Sai,67
Si Kan,66
Saphan Sung,66
Wang Thonglang,65
Si Phraya,65
Bang Rak Noi,64
Chatuchak,64
Dok Mai,62
Silom,62
Bang Kho,60
Thung Wat Don,60
Bang Phlap,59
Bang Phut,58
Lam Pho,58
Khan Na Yao,58
Wong Sawang,55
Sai Noi,55
Bang Rak Yai,53
Yan Nawa,53
Bukkhalo,52
Thung Khru,51
Samae Dam,51
Khlong Thanon,50
Bang Kruai,50
Bang Khu Rat,50
Bang Mot,49
Bang Len,48
Nuan Chan,48
Bang Bo,45
Sai Mai,45
Lat Krabang,43
Bang Pla,43
Thai Ban Mai,42
Ram Inthra,42
Nong Bon,40
Bang Yai,38
Lahan,38
Bang Phai,37
Maha Sawat,36
Bang Khlo,36
Bang Sao Thong,35
Bang Yi Khan,35
Bang Khae,34
Sanam Bin,33
Bang Bamru,33
Khlong Sam Prawet,32
Maha Phruettharam,32
Thung Phaya Thai,31
Bang Phriang,31
Bang Pa Kok,31
Thung Song Hong,31
Bang Muang,30
Bang Lamphu Lang,30
Bang Krang,30
Talat Phlu,30
Phlapphla,30
Bang Khae Nuea,30
Tha Kham,29
Bang Si Mueang,29
Tha It,29
Sala Klang,29
Chorakhe Bua,29
Khlong Song Ton Nun,26
Bang Khun Kong,25
Bang Mueang Mai,25
Nong Khaem,24
Plai Bang,23
Khlong Khoi,23
Lak Song,23
Wat Tha Phra,23
Bang Bon,22
Bang Chalong,22
Pak Khlong Phasi Charoen,22
Bang O,22
Suan Yai,21
Bang Kho Laem,21
Wat Chalo,21
Nong Khang Phlu,20
Rat Burana,19
Bang Duan,19
Bang Si Thong,19
Arun Amarin,18
Saphan Song,18
Talat Bang Khen,18
Nawamin,17
Taling Chan,17
Samre,16
Wang Mai,15
Samrong,15
Saen Saep,15
Bang Waek,14
Bang Khu Wiang,14
Bang Tanai,14
Om Kret,14
Nong Prue,14
Bang Khun Thian,14
Khlong San,14
Bang Pu Mai,14
Lam Phak Chi,14
Bang Khun Si,13
Rong Mueang,12
Bang Khanun,12
Ban Chang Lo,11
Bang Phlat,11
Suriyawong,10
Sam Wa Tawan Ook,9
Wat Phraya Krai,8
Chom Thong,8
Thai Ban,8
Bang Pu,8
Thap Yao,8
Krathum Rai,7
Bang Khru,7
Khlong Chao Khun Sing,7
Sai Kong Din,7
Sala Thammasop,6
Thawi Watthana,6
Samrong Tai,6
Lam Pla Thio,5
Khlong Phra Udom,5
Nong Chok,5
Sai Kong Din Tai,4
Somdet Chao Phraya,4
Ban Rakat,4
Sano Loi,3
Bang Ramat,3
Bang Khun Non,3
Bang Yi Ruea,3
Bang Prong,3
Bang Hua Suea,3
Khok Faet,2
Khlong Khwang,2
Sisa Chorakhe Yai,2
Pathum Wan,2
Wat Arun,1
Talat,1
Khu Fang Nuea,1
Bang Ko Bua,1
Bang Chueak Nang,1
Bang Phueng,1
Nong Phrao Ngai,1
Chimphli,1
Bang Phrom,1
